PG_Score_-157.7251_Thickness_0.1071_Cl_0.7060_Cd_0.01188_Cm_-0.1004
1.000000 0.000000
0.977678 0.005833
0.953888 0.012038
0.928332 0.017731
0.900975 0.022659
0.872412 0.027019
0.843608 0.031145
0.815390 0.035255
0.788166 0.039395
0.761979 0.043520
0.736703 0.047576
0.712175 0.051537
0.688252 0.055393
0.664811 0.059137
0.641750 0.062756
0.618973 0.066228
0.596401 0.069520
0.573965 0.072596
0.551612 0.075417
0.529308 0.077949
0.507038 0.080161
0.484801 0.082032
0.462616 0.083546
0.440513 0.084698
0.418531 0.085490
0.396717 0.085930
0.375122 0.086035
0.353794 0.085823
0.332778 0.085316
0.312116 0.084538
0.291834 0.083508
0.271953 0.082246
0.252474 0.080765
0.233386 0.079068
0.214659 0.077149
0.196246 0.074988
0.178090 0.072550
0.160124 0.069780
0.142289 0.066601
0.124558 0.062921
0.106968 0.058635
0.089660 0.053644
0.072932 0.047881
0.057260 0.041350
0.043276 0.034162
0.031674 0.026566
0.023039 0.018938
0.017640 0.011742
0.015264 0.005492
0.015039 0.001116
0.016060 -0.002943
0.019430 -0.008092
0.025828 -0.013195
0.035418 -0.017722
0.047915 -0.021365
0.062731 -0.024004
0.079160 -0.025684
0.096549 -0.026557
0.114397 -0.026819
0.132389 -0.026664
0.150369 -0.026252
0.168296 -0.025705
0.186201 -0.025099
0.204148 -0.024481
0.222214 -0.023870
0.240470 -0.023271
0.258978 -0.022676
0.277779 -0.022069
0.296904 -0.021435
0.316365 -0.020758
0.336161 -0.020023
0.356279 -0.019218
0.376700 -0.018337
0.397394 -0.017375
0.418329 -0.016337
0.439472 -0.015227
0.460791 -0.014060
0.482256 -0.012852
0.503846 -0.011625
0.525547 -0.010404
0.547355 -0.009219
0.569278 -0.008100
0.591335 -0.007082
0.613558 -0.006197
0.635982 -0.005477
0.658650 -0.004947
0.681599 -0.004630
0.704861 -0.004532
0.728455 -0.004648
0.752393 -0.004941
0.776698 -0.005342
0.801417 -0.005727
0.826619 -0.005918
0.852317 -0.005688
0.878309 -0.004810
0.904060 -0.003158
0.928823 -0.000865
0.952177 0.001457
0.974930 0.002477
1.000000 0.000000
